"filename", "language", "C", "Makefile", "C++", "comment", "blank", "total"
"c:\Users\45228\Desktop\share\ddos\code\kernel\Makefile", "Makefile", 0, 14, 0, 0, 4, 18
"c:\Users\45228\Desktop\share\ddos\code\kernel\boot\start.c", "C", 42, 0, 0, 11, 18, 71
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\config.h", "C", 9, 0, 0, 0, 2, 11
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\error.h", "C", 10, 0, 0, 2, 4, 16
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\types.h", "C", 28, 0, 0, 0, 9, 37
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\uart.c", "C", 50, 0, 0, 12, 14, 76
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\uart.h", "C", 7, 0, 0, 0, 1, 8
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\atomic.h", "C++", 0, 0, 18, 0, 11, 29
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\console.c", "C", 89, 0, 0, 2, 8, 99
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\console.h", "C++", 0, 0, 8, 0, 1, 9
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\main.c", "C", 50, 0, 0, 4, 6, 60
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\memlayout.h", "C++", 0, 0, 26, 36, 12, 74
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\plic.c", "C", 21, 0, 0, 5, 5, 31
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\plic.h", "C++", 0, 0, 9, 0, 1, 10
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\proc.c", "C", 79, 0, 0, 1, 16, 96
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\proc.h", "C", 56, 0, 0, 1, 6, 63
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\riscv.h", "C", 137, 0, 0, 31, 45, 213
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\spinlock.c", "C", 47, 0, 0, 0, 6, 53
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\spinlock.h", "C", 18, 0, 0, 0, 2, 20
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\trap.c", "C", 88, 0, 0, 23, 13, 124
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\trap.h", "C++", 0, 0, 14, 0, 3, 17
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\usertest.c", "C", 48, 0, 0, 5, 6, 59
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\usertest.h", "C++", 0, 0, 4, 0, 0, 4
"c:\Users\45228\Desktop\share\ddos\code\kernel\libs\stdio.c", "C", 46, 0, 0, 0, 8, 54
"c:\Users\45228\Desktop\share\ddos\code\kernel\libs\stdio.h", "C", 11, 0, 0, 0, 1, 12
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\assert.h", "C", 16, 0, 0, 0, 4, 20
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\elf.h", "C++", 0, 0, 36, 4, 5, 45
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\panic.c", "C", 38, 0, 0, 0, 6, 44
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\panic.h", "C++", 0, 0, 10, 0, 3, 13
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\printf.c", "C", 163, 0, 0, 3, 14, 180
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\printf.h", "C++", 0, 0, 15, 0, 6, 21
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\stdarg.h", "C++", 0, 0, 7, 1, 4, 12
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\string.c", "C", 115, 0, 0, 0, 12, 127
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\string.h", "C", 16, 0, 0, 0, 2, 18
"Total", "-", 1184, 14, 147, 141, 258, 1744
